SDGi,Life Exectancy,HDI,Per Capita GDP,Population (millions),Built up land,Cropland,Grazing land,Forest land,Fishing ground,Built up land.1,Total biocapacity ,Ecological (Deficit) or Reserve,,,,,Total Ecological Footprint (Consumption),,,,,Average total ecological Footprint
63.7,62,0.71,13157,60.8,0.1,0.5,0.5,0.031594415,0.150192177,0.050031339,1.275586245,-1.937300307,,,,,3.2,,,,,
39,55,0.39,794,11.6,0,0.3,1.1,0.363152422,0.006688914,0.023624027,1.782236013,0.11319203,,,,,1.7,,,,,
79.9,83,0.91,39753,46.7,0.1,1.1,0.1,0.411346213,0.060670944,0.057379487,1.72215542,-2.193410924,,,,,3.9,,,,,
49.6,65,0.51,3804,46,0,0.4,0.5,0.218923148,0.018979283,0.019533009,1.131661469,-0.010194273,,,,,1.1,,,,,
71.6,70,0.73,14818,0.6,0.1,0.3,0,67.94996108,6.479268601,0.103943459,74.83845211,71.69935685,,,,,3.1,,,,,
85.2,83,0.95,53897,10.2,0.2,0.7,0.1,5.523063853,2.011729656,0.186263431,8.51950749,3.581579343,,,,,4.9,,,,,
69.7,72,0.69,3966,10,0.1,0.2,0.1,0.005301274,0.009601452,0.104688276,0.447701438,-0.613270415,,,,,1.1,,,,,
57.4,66,0.55,2876,63.3,0,0.3,0.2,0.116900753,0.044997696,0.044710962,0.79975609,-0.126549295,,,,,0.9,,,,,
0,68,0.61,2860,1.4,0,0.2,0.1,0.541295654,0.794154161,0.021591527,1.59116224,1.024141801,,,,,0.6,,,,,
0,71,0.75,5810,0.1,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,1.256949734,-1.833476113,,,,,3.1,,,,,
60.4,73,0.81,25596,1.4,0,0,0,0.124025214,1.208082975,0.000993573,1.37945418,-4.01364274,,,,,5.4,,,,,
70.7,74,0.73,10535,12,0,0.4,0.1,0.031424658,0.210163693,0.025266878,0.716018316,-0.645334105,,,,,1.4,,,,,
70.4,76,0.84,32109,85.6,0,0.8,0.1,0.532112634,0.039326179,0.042962586,1.478215807,-1.91661569,,,,,3.4,,,,,
66.1,69,0.75,16151,6.2,0,0.4,1.6,0.011837418,0.104249496,0.0463727,2.152708107,-1.708096742,,,,,3.9,,,,,
68.8,79,0.91,67026,10.1,0,0,0,0.061907523,0.450007816,0,0.543236143,-8.17159126,,,,,8.7,,,,,
80.6,81,0.93,47366,68.5,0.1,0.4,0.1,0.150714141,0.286077624,0.097711509,1.020497152,-2.544799528,,,,,3.6,,,,,
74.6,76,0.92,65118,334.8,0.1,1.7,0.2,1.433903996,0.313289262,0.051251989,3.720832,-3.739800091,,,,,7.5,,,,,
0,70,0.61,2442,0.3,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,1.8364544,0.006197676,,,,,1.8,,,,,
72.8,74,0.7,11032,99,0.1,0.4,0,0.155676974,0.149952414,0.078597105,0.79507003,-1.637204158,,,,,2.4,,,,,
52.1,64,0.46,1780,31.2,0,0.1,0.1,0.030011215,0.146865083,0.01953004,0.347502131,-0.265756229,,,,,0.6,,,,,
